Game ID,Date,Player Name,Team,VS,Kills,Deaths,Assists,BP,BD,R.Win,R.Loss,G.Win,G.Loss,MAP
LCL20250531G1,20250531,EZA_KlusE,EZA,PXi,14,8,6,0,1,9,3,1,0,FORT
LCL20250531G1,20250531,EZA_RoscoeTTV,EZA,PXi,13,10,7,1,0,9,3,1,0,FORT
LCL20250531G1,20250531,EZA_VenomSZN,EZA,PXi,6,10,4,0,0,9,3,1,0,FORT
LCL20250531G1,20250531,EZA_Kaggai_TV,EZA,PXi,7,7,2,0,0,9,3,1,0,FORT
LCL20250531G1,20250531,EZA_BunnyxPaco,EZA,PXi,9,5,4,6,0,9,3,1,0,FORT
LCL20250531G1,20250531,PXi_EGGS,PXi,EZ,11,9,3,1,0,3,9,0,1,FORT
LCL20250531G1,20250531,PXi_TH3xBeastTV,PXi,EZ,10,9,8,0,0,3,9,0,1,FORT
LCL20250531G1,20250531,PXi_Gingerr,PXi,EZ,10,11,1,0,0,3,9,0,1,FORT
LCL20250531G1,20250531,PXi_BadOmenTTV,PXi,EZ,5,10,6,0,0,3,9,0,1,FORT
LCL20250531G1,20250531,PXi_Ghostly,PXi,EZ,4,10,6,0,0,3,9,0,1,FORT
LCL20250531G2,20250531,COV-Exquisite,COV,SicA,13,3,2,0,0,9,0,1,0,BAY5
LCL20250531G2,20250531,COV-NoVa,COV,SicA,9,1,9,0,0,9,0,1,0,BAY5
LCL20250531G2,20250531,COV-Dominik,COV,SicA,11,2,2,1,1,9,0,1,0,BAY5
LCL20250531G2,20250531,COV-TulkTV,COV,SicA,8,2,5,0,0,9,0,1,0,BAY5
LCL20250531G2,20250531,COV-Xaedra,COV,SicA,4,2,1,0,0,9,0,1,0,BAY5
LCL20250531G2,20250531,SIC-Gamekillaz,SicA,COV,2,9,0,0,0,0,9,0,1,BAY5
LCL20250531G2,20250531,SIC-KR4MPVS_TTV,SicA,COV,1,9,0,0,0,0,9,0,1,BAY5
LCL20250531G2,20250531,SIC-Orgon_TTV,SicA,COV,1,9,1,0,0,0,9,0,1,BAY5
LCL20250531G2,20250531,SIC-CulDeSacTTV,SicA,COV,3,9,2,1,0,0,9,0,1,BAY5
LCL20250531G2,20250531,SIC-LegionGTB,SicA,COV,3,9,1,0,0,0,9,0,1,BAY5
LCL20250531G3,20250531,ND-SlaughterTTV,ND,PAC,12,4,5,1,1,9,3,1,0,ICEBERG
LCL20250531G3,20250531,ND-Pug,ND,PAC,8,9,3,0,0,9,3,1,0,ICEBERG
LCL20250531G3,20250531,ND-GuyAiden,ND,PAC,10,7,3,1,0,9,3,1,0,ICEBERG
LCL20250531G3,20250531,ND-Steezy,ND,PAC,8,6,5,1,0,9,3,1,0,ICEBERG
LCL20250531G3,20250531,ND-NotMrKevinTV,ND,PAC,16,6,0,0,0,9,3,1,0,ICEBERG
LCL20250531G3,20250531,PAC_BoahhTTV,PAC,ND,4,10,3,1,0,3,9,0,1,ICEBERG
LCL20250531G3,20250531,PAC-Cheeto,PAC,ND,13,11,2,1,0,3,9,0,1,ICEBERG
LCL20250531G3,20250531,PAC-Eclips,PAC,ND,8,11,1,0,0,3,9,0,1,ICEBERG
LCL20250531G3,20250531,PAC_Boofin,PAC,ND,3,11,3,0,0,3,9,0,1,ICEBERG
LCL20250531G3,20250531,PAC-Maple,PAC,ND,4,11,1,1,0,3,9,0,1,ICEBERG
LCL20250531G4,20250531,VG-BlakeDahlia,VG,AQ,18,8,2,0,1,9,5,1,0,BAY5
LCL20250531G4,20250531,VG-ItchKillahTV,VG,AQ,13,10,7,1,0,9,5,1,0,BAY5
LCL20250531G4,20250531,VG-J_Windchill,VG,AQ,11,10,5,2,0,9,5,1,0,BAY5
LCL20250531G4,20250531,VG-w1nter,VG,AQ,10,11,7,0,1,9,5,1,0,BAY5
LCL20250531G4,20250531,VG-OutHereBoppn,VG,AQ,8,12,8,0,1,9,5,1,0,BAY5
LCL20250531G4,20250531,AQ-shelbykb2tv,AQ,VG,6,13,9,3,0,5,9,0,1,BAY5
LCL20250531G4,20250531,AQ-SchmidttyB,AQ,VG,9,11,1,1,0,5,9,0,1,BAY5
LCL20250531G4,20250531,AQ-PeekMeeTV,AQ,VG,14,9,2,0,1,5,9,0,1,BAY5
LCL20250531G4,20250531,AQ-SmurkThe0gTV,AQ,VG,16,13,5,0,0,5,9,0,1,BAY5
LCL20250531G4,20250531,AQ-AKAJWalker,AQ,VG,6,14,9,0,0,5,9,0,1,BAY5
LCL20250531G5,20250531,SIC-Barbariic,SICNA,EZA,8,5,3,1,0,9,1,1,0,ICEBERG
LCL20250531G5,20250531,SIC-cruzN,SICNA,EZA,8,3,3,0,0,9,1,1,0,ICEBERG
LCL20250531G5,20250531,SIC-Watchful,SICNA,EZA,13,4,4,0,0,9,1,1,0,ICEBERG
LCL20250531G5,20250531,SIC-Sleaq,SICNA,EZA,10,6,5,0,0,9,1,1,0,ICEBERG
LCL20250531G5,20250531,SIC-Strix,SICNA,EZA,10,4,4,0,0,9,1,1,0,ICEBERG
LCL20250531G5,20250531,EZA_KlusE,EZA,SICNA,7,10,1,0,0,1,9,0,1,ICEBERG
LCL20250531G5,20250531,EZA_RoscoeTTV,EZA,SICNA,1,10,1,0,0,1,9,0,1,ICEBERG
