,,,,,,,,GAMES,,,TOTAL ROUNDS,,,BOWL,,BAY 5,,ICEBERG,,FORT,,SKYBRIDGE,
Player,Team,K,D,A,RP,KD,KPR,Won,Lost,WinRate,A%,D%,T%,A,D,A,D,A,D,A,D,A,D
Agurkas44,DECODED,52,39,17,71,1.33,0.73,4,2,67%,48%,68%,59%,71%,50%,100%,75%,30%,77%,36%,77%,null,null
AIM_SIBIRI,XP ACADEMY,18,8,11,23,2.25,0.78,2,0,100%,73%,83%,78%,null,null,63%,100%,null,null,null,null,100%,75%
AIM4THORAX,SICARIO ACADEMY EU,6,10,2,12,0.60,0.50,0,1,0%,25%,25%,25%,25%,25%,null,null,null,null,null,null,null,null
Andreezy,VIRTUS.PRO,14,13,7,28,1.08,0.50,2,0,100%,47%,85%,64%,null,null,29%,88%,null,null,63%,null,null,null
AshTrayPot,DECODED,41,34,13,50,1.21,0.82,2,2,50%,38%,58%,48%,71%,50%,null,null,13%,60%,36%,60%,null,null
Azrael,SYNERGY,23,24,5,27,0.96,0.85,0,2,0%,29%,38%,33%,null,null,38%,20%,17%,50%,null,50%,null,null
B00BIES,INFERNAL SOLDIERS,15,26,8,41,0.58,0.37,1,2,33%,29%,63%,49%,14%,63%,40%,63%,null,null,null,null,null,null
Bakeezy,PANDARIC APEX,59,68,28,108,0.87,0.55,7,1,88%,60%,66%,63%,25%,25%,69%,78%,40%,88%,71%,88%,63%,50%
Baldness,WOO CLAN,12,21,7,25,0.57,0.48,1,1,50%,45%,43%,44%,null,null,33%,13%,null,null,50%,null,null,null
Beta002,PULSE,6,9,0,11,0.67,0.55,0,1,0%,13%,33%,18%,null,null,null,null,null,null,13%,null,null,null
BlitzerGirl,OUTCASTS.EPA,56,53,24,85,1.06,0.66,4,2,67%,61%,57%,59%,50%,56%,null,null,null,null,56%,null,80%,63%
Bouche,OUTCASTS,39,39,14,50,1.00,0.78,1,3,25%,27%,55%,38%,null,null,29%,58%,null,null,17%,null,null,null
bran,INFERNAL SOLDIERS,29,28,12,41,1.04,0.71,1,2,33%,29%,63%,49%,14%,63%,40%,63%,null,null,null,null,null,null
CaaLs,SICARIO ACADEMY EU,12,29,10,37,0.41,0.32,1,2,33%,25%,54%,35%,31%,64%,null,null,13%,0%,null,0%,null,null
Cocaoo,PANDARIC APEX,90,50,34,80,1.80,1.13,6,0,100%,67%,74%,70%,null,null,69%,78%,40%,88%,71%,88%,null,null
Codex,PANDARIC APEX,72,62,32,108,1.16,0.67,7,1,88%,60%,66%,63%,25%,25%,69%,78%,40%,88%,71%,88%,63%,50%
CordsDsblr,XP ACADEMY,10,11,6,23,0.91,0.43,2,0,100%,73%,83%,78%,null,null,63%,100%,null,null,null,null,100%,75%
Crank,PANDARIC APEX,68,67,31,108,1.01,0.63,7,1,88%,60%,66%,63%,25%,25%,69%,78%,40%,88%,71%,88%,63%,50%
Cynthia,SYNERGY,12,26,6,27,0.46,0.44,0,2,0%,29%,38%,33%,null,null,38%,20%,17%,50%,null,50%,null,null
DanSkqr,ONLY FOR FRAGS,54,28,15,50,1.93,1.08,2,2,50%,40%,53%,48%,75%,75%,null,null,50%,83%,13%,83%,null,null
DARK1N,ONLY FOR FRAGS,36,41,18,50,0.88,0.72,2,2,50%,40%,53%,48%,75%,75%,null,null,50%,83%,13%,83%,null,null
Deniiii,DECODED,46,42,21,60,1.10,0.77,3,2,60%,43%,66%,55%,71%,50%,null,null,30%,77%,36%,77%,null,null
Doshjet,JUMBO TEAM,19,23,12,30,0.83,0.63,1,1,50%,63%,43%,53%,63%,67%,null,null,null,null,null,null,63%,25%
EkinoXxia,ONLY NOMAD,20,20,4,24,1.00,0.83,0,2,0%,15%,36%,25%,null,null,15%,36%,null,null,null,null,null,null
EnergyStar,PULSE,24,33,11,45,0.73,0.53,1,2,33%,25%,44%,36%,0%,13%,40%,64%,null,null,13%,null,null,null
Entas,SICARIO ACADEMY EU,4,9,2,10,0.44,0.40,0,1,0%,13%,0%,10%,null,null,null,null,13%,0%,null,0%,null,null
Envirosity,INFERNAL SOLDIERS,33,32,8,41,1.03,0.80,1,2,33%,29%,63%,49%,14%,63%,40%,63%,null,null,null,null,null,null
FMX,VIRTUS.PRO,18,16,6,28,1.13,0.64,2,0,100%,47%,85%,64%,null,null,29%,88%,null,null,63%,null,null,null
FOX,OUTCASTS.EPA,81,57,25,85,1.42,0.95,4,2,67%,61%,57%,59%,50%,56%,null,null,null,null,56%,null,80%,63%
FURL3X,SICARIO EU,17,22,10,28,0.77,0.61,0,2,0%,15%,53%,36%,null,null,13%,71%,null,null,20%,null,null,null
Goes,SICARIO EU,13,21,3,28,0.62,0.46,0,2,0%,15%,53%,36%,null,null,13%,71%,null,null,20%,null,null,null
Green,WOO CLAN,7,20,6,25,0.35,0.28,1,1,50%,45%,43%,44%,null,null,33%,13%,null,null,50%,null,null,null
Griffen,K3,46,49,22,73,0.94,0.63,3,3,50%,51%,53%,52%,67%,53%,29%,63%,null,null,null,null,25%,0%
H4RD,VIRTUS.PRO,24,18,8,28,1.33,0.86,2,0,100%,47%,85%,64%,null,null,29%,88%,null,null,63%,null,null,null
HawkCrux,SYNERGY,14,23,8,27,0.61,0.52,0,2,0%,29%,38%,33%,null,null,38%,20%,17%,50%,null,50%,null,null
HBKS,SURGE,40,34,13,47,1.18,0.85,1,2,33%,37%,55%,45%,null,null,47%,61%,null,null,null,null,13%,0%
HellCat,OUTCASTS,16,30,11,39,0.53,0.41,1,2,33%,32%,59%,44%,null,null,38%,67%,null,null,17%,null,null,null
