Map,Team,Opponent,Attack Win%,Defense Win%,Game Win%
ICEBERG,SICARIO ACADEMY EU,DECODED,13%,0%,0%
ICEBERG,DECODED,SICARIO ACADEMY EU,100%,88%,100%
BAY 5,WOO CLAN,PANDARIC APEX,33%,13%,0%
BAY 5,PANDARIC APEX,WOO CLAN,88%,67%,100%
BAY 5,INFERNAL SOLDIERS,OUTCASTS,75%,75%,100%
BAY 5,OUTCASTS,INFERNAL SOLDIERS,25%,25%,0%
FORT,WOO CLAN,OUTCASTS,50%,83%,100%
FORT,OUTCASTS,WOO CLAN,17%,50%,0%
BAY 5,DECODED,ONLY NOMAD,100%,75%,100%
BAY 5,ONLY NOMAD,DECODED,25%,0%,0%
BAY 5,PANDARIC APEX,INFERNAL SOLDIERS,50%,83%,100%
BAY 5,INFERNAL SOLDIERS,PANDARIC APEX,17%,50%,0%
BAY 5,OUTCASTS,ONLY NOMAD,50%,100%,100%
BAY 5,ONLY NOMAD,OUTCASTS,0%,50%,0%
BOWL,SICARIO ACADEMY EU,INFERNAL SOLDIERS,38%,86%,100%
BOWL,INFERNAL SOLDIERS,SICARIO ACADEMY EU,14%,63%,0%
BOWL,PANDARIC ACADEMY,K3,33%,38%,0%
BOWL,K3,PANDARIC ACADEMY,63%,67%,100%
ICEBERG,ONLY FOR FRAGS,SYNERGY,50%,83%,100%
ICEBERG,SYNERGY,ONLY FOR FRAGS,17%,50%,0%
SKYBRIDGE,SURGE,OUTCASTS.EPA,13%,0%,0%
SKYBRIDGE,OUTCASTS.EPA,SURGE,100%,88%,100%
BAY 5,SYNERGY,SURGE,38%,20%,0%
BAY 5,SURGE,SYNERGY,80%,63%,100%
BOWL,PULSE,K3,0%,13%,0%
BOWL,K3,PULSE,88%,100%,100%
FORT,OUTCASTS.EPA,ONLY FOR FRAGS,63%,80%,100%
FORT,ONLY FOR FRAGS,OUTCASTS.EPA,20%,38%,0%
BAY 5,PULSE,SURGE,40%,64%,100%
BAY 5,SURGE,PULSE,36%,60%,0%
BOWL,PANDARIC ACADEMY,ONLY FOR FRAGS,25%,25%,0%
BOWL,ONLY FOR FRAGS,PANDARIC ACADEMY,75%,75%,100%
FORT,PULSE,DECODED,13%,33%,0%
FORT,DECODED,PULSE,67%,88%,100%
BAY 5,OUTCASTS,K3,13%,33%,0%
BAY 5,K3,OUTCASTS,67%,88%,100%
BOWL,SICARIO ACADEMY EU,OUTCASTS.EPA,25%,25%,0%
BOWL,OUTCASTS.EPA,SICARIO ACADEMY EU,75%,75%,100%
FORT,ONLY FOR FRAGS,PANDARIC APEX,0%,25%,0%
FORT,PANDARIC APEX,ONLY FOR FRAGS,75%,100%,100%
BOWL,K3,DECODED,50%,29%,0%
BOWL,DECODED,K3,71%,50%,100%
FORT,OUTCASTS.EPA,PANDARIC APEX,50%,40%,0%
FORT,PANDARIC APEX,OUTCASTS.EPA,60%,50%,100%
FORT,PANDARIC APEX,DECODED,100%,75%,100%
FORT,DECODED,PANDARIC APEX,25%,0%,0%
ICEBERG,PANDARIC APEX,DECODED,40%,88%,100%
ICEBERG,DECODED,PANDARIC APEX,13%,60%,0%
SKYBRIDGE,K3,XP ACADEMY,25%,0%,0%
SKYBRIDGE,XP ACADEMY,K3,100%,75%,100%
BAY 5,K3,XP ACADEMY,0%,38%,0%
BAY 5,XP ACADEMY,K3,63%,100%,100%
SKYBRIDGE,JUMBO TEAM,OUTCASTS.EPA,63%,25%,0%
SKYBRIDGE,OUTCASTS.EPA,JUMBO TEAM,75%,38%,100%
BOWL,JUMBO TEAM,OUTCASTS.EPA,63%,67%,100%
BOWL,OUTCASTS.EPA,JUMBO TEAM,33%,38%,0%
BAY 5,VIRTUS.PRO,SICARIO EU,29%,88%,100%
BAY 5,SICARIO EU,VIRTUS.PRO,13%,71%,0%
FORT,VIRTUS.PRO,SICARIO EU,63%,80%,100%
FORT,SICARIO EU,VIRTUS.PRO,20%,38%,0%
BOWL,TARKOVHELP,PANDARIC APEX,75%,75%,100%
BOWL,PANDARIC APEX,TARKOVHELP,25%,25%,0%
SKYBRIDGE,TARKOVHELP,PANDARIC APEX,50%,38%,0%
SKYBRIDGE,PANDARIC APEX,TARKOVHELP,63%,50%,100%
